Fecha,Bloque,BNB
2025-03-14,47468477,0.034295881133464746
2025-03-13,47439682,0.034295881133464746
2025-03-12,47410883,0.034295881133464746
2025-03-11,47382085,0.034295881133464746
2025-03-10,47353287,0.034295881133464746
2025-03-09,47324491,0.034295881133464746
2025-03-08,47295692,0.034295881133464746
2025-03-07,47266895,0.034295881133464746
2025-03-06,47238100,0.034295881133464746
2025-03-05,47209302,0.034295881133464746
2025-03-04,47180503,0.034295881133464746
2025-03-03,47151704,0.034295881133464746
2025-03-02,47122907,0.034295881133464746
2025-03-01,47094108,0.034295881133464746
2025-02-28,47065308,0.034295881133464746
2025-02-27,47036509,0.034295881133464746
2025-02-26,47007711,0.034295881133464746
2025-02-25,46978912,0.034295881133464746
2025-02-24,46950113,0.034295881133464746
2025-02-23,46921325,0.034295881133464746
2025-02-22,46892526,0.034295881133464746
2025-02-21,46863728,0.034295881133464746
2025-02-20,46834931,0.034295881133464746
2025-02-19,46806132,0.034295881133464746
2025-02-18,46777335,0.034295881133464746
2025-02-17,46748538,0.034295881133464746
2025-02-16,46719742,0.034295881133464746
2025-02-15,46690956,0.034295881133464746
2025-02-14,46662160,0.034295881133464746
2025-02-13,46633362,0.034295881133464746
