Fecha,Bloque,XRP
2025-03-14,47469043,309.4443933906435
2025-03-13,47440248,309.4443933906435
2025-03-12,47411449,309.4443933906435
2025-03-11,47382650,309.4443933906435
2025-03-10,47353853,309.4443933906435
2025-03-09,47325057,309.4443933906435
2025-03-08,47296258,309.4443933906435
2025-03-07,47267460,309.4443933906435
2025-03-06,47238666,309.4443933906435
2025-03-05,47209868,309.4443933906435
2025-03-04,47181069,309.4443933906435
2025-03-03,47152270,309.4443933906435
2025-03-02,47123472,309.4443933906435
2025-03-01,47094673,309.4443933906435
2025-02-28,47065874,309.4443933906435
2025-02-27,47037075,309.4443933906435
2025-02-26,47008277,309.4443933906435
2025-02-25,46979477,309.4443933906435
2025-02-24,46950679,309.4443933906435
2025-02-23,46921891,309.4443933906435
2025-02-22,46893092,309.4443933906435
2025-02-21,46864294,309.4443933906435
2025-02-20,46835496,309.4443933906435
2025-02-19,46806698,309.4443933906435
2025-02-18,46777900,309.4443933906435
2025-02-17,46749104,309.4443933906435
2025-02-16,46720308,309.4443933906435
2025-02-15,46691522,309.4443933906435
2025-02-14,46662726,309.4443933906435
2025-02-13,46633928,309.4443933906435
